id,fecha_hora_descarga,region,zona,lon,lat,id_descargado
1,2025-07-07 08:51:39,Madrid,Europe/Madrid,-3.6691,40.43,IC018349_Certificado_Perdia_signed.env
2,2025-09-21 16:55:47,Andalusia,Europe/Madrid,-3.6095,37.1918,IC016711_Certificado_Perdia_signed.env
3,2025-09-22 12:56:19,Catalonia,Europe/Madrid,2.1606,41.3891,IC019913_Certificado_Perdia_signed.env
4,2025-09-23 11:59:43,Canary Islands,Atlantic/Canary,-15.4098,28.1,IC015011_Certificado_Perdia_signed.env
5,2025-09-23 11:59:51,Canary Islands,Atlantic/Canary,-15.4098,28.1,IC015011_Certificado_Perdia_signed.env
6,2025-09-23 12:37:58,Canary Islands,Atlantic/Canary,-15.4098,28.1,IC015011_Certificado_Perdia_signed.env
7,2025-09-24 12:00:21,Galicia,Europe/Madrid,-7.654,43.4432,IC018646_Certificado_Perdia_signed.env
8,2025-09-24 15:21:55,,Europe/Madrid,-3.684,40.4172,IC013883_Certificado_Perdia_signed.env
9,2025-09-30 13:55:02,Basque Country,Europe/Madrid,-3.0145,43.3473,IC001186_Certificado_Perdia_signed.env
10,2025-09-30 13:55:12,Basque Country,Europe/Madrid,-3.0145,43.3473,IC001186_Certificado_Perdia_signed.env
11,2025-09-30 14:04:04,Basque Country,Europe/Madrid,-3.0145,43.3473,IC006148_Certificado_Perdia_signed.env
12,2025-09-30 16:21:18,Andalusia,Europe/Madrid,-5.9208,37.2866,IC009023_Certificado_Perdia_signed.env
13,2025-09-30 19:55:28,Basque Country,Europe/Madrid,-2.9238,43.2626,IC002079_Certificado_Perdia_signed.env
14,2025-09-30 20:19:30,Madrid,Europe/Madrid,-3.8137,40.4441,IC021764_Certificado_Perdia_signed.env
15,2025-09-30 20:33:12,Madrid,Europe/Madrid,-3.646,40.4596,IC004855_Certificado_Perdia_signed.env
16,2025-10-02 13:44:38,Basque Country,Europe/Madrid,-2.9209,43.2481,IC000367_Certificado_Perdia_signed.env
17,2025-10-02 15:08:07,Madrid,Europe/Madrid,-3.646,40.4596,IC000666_Certificado_Perdia_signed.env
18,2025-10-02 17:57:43,Madrid,Europe/Madrid,-3.8137,40.4441,IC000060_Certificado_Perdia_signed.env
19,2025-10-02 19:52:39,Basque Country,Europe/Madrid,-3.0167,43.3226,IC005095_Certificado_Perdia_signed.env
20,2025-10-02 19:52:45,Basque Country,Europe/Madrid,-3.0167,43.3226,IC005095_Certificado_Perdia_signed.env
21,2025-10-02 19:53:26,Basque Country,Europe/Madrid,-3.0167,43.3226,IC005095_Certificado_Perdia_signed.env
22,2025-10-02 20:11:23,Basque Country,Europe/Madrid,-3.0016,43.2982,IC014494_Certificado_Perdia_signed.env
23,2025-10-02 20:40:28,Valencia,Europe/Madrid,-0.3771,39.4676,IC008543_Certificado_Perdia_signed.env
24,2025-10-02 21:09:05,Madrid,Europe/Madrid,-3.5551,40.4232,IC009951_Certificado_Perdia_signed.env
25,2025-10-02 21:10:23,Valencia,Europe/Madrid,-0.3771,39.4676,IC002692_Certificado_Perdia_signed.env
26,2025-10-03 12:26:54,Madrid,Europe/Madrid,-3.7571,40.3257,IC007436_Certificado_Perdia_signed.env
27,2025-10-03 12:36:23,Madrid,Europe/Madrid,-3.6099,40.3989,IC022181_Certificado_Perdia_signed.env
28,2025-10-03 12:44:16,Madrid,Europe/Madrid,-3.6099,40.3989,IC021977_Certificado_Perdia_signed.env
29,2025-10-03 14:37:02,Basque Country,Europe/Madrid,-3.0167,43.3226,IC005095_Certificado_Perdia_signed.env
30,2025-10-03 19:34:19,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
31,2025-10-03 19:34:21,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
32,2025-10-03 19:34:57,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
33,2025-10-03 19:34:58,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
34,2025-10-03 19:37:59,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
35,2025-10-03 19:45:08,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
36,2025-10-03 19:45:09,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
37,2025-10-03 19:45:10,Aragon,Europe/Madrid,-0.4124,42.1371,IC011574_Certificado_Perdia_signed.env
38,2025-10-04 21:20:13,Castille and León,Europe/Madrid,-5.5575,42.6445,IC021809_Certificado_Perdia_signed.env
39,2025-10-05 20:28:27,Madrid,Europe/Madrid,-3.684,40.4318,IC013265_Certificado_Perdia_signed.env
40,2025-10-05 20:58:55,Madrid,Europe/Madrid,-3.684,40.4318,IC019287_Certificado_Perdia_signed.env
41,2025-10-06 11:37:29,Madrid,Europe/Madrid,-3.8683,40.4683,IC011891_Certificado_Perdia_signed.env
42,2025-10-06 11:44:48,Basque Country,Europe/Madrid,-3.0016,43.2982,IC017947_Certificado_Perdia_signed.env
43,2025-10-06 11:46:46,Valencia,Europe/Madrid,-0.4825,38.342,IC009492_Certificado_Perdia_signed.env
